Account,classification,total_pnl,avg_trade_size,trade_count,win_rate,total_fees
0x083384f897ee0f19899168e3b1bec365f52a9012,Extreme Fear,124769.221441,15071.008600000001,100,37.0,143.991995
0x083384f897ee0f19899168e3b1bec365f52a9012,Extreme Greed,-40282.335904,12080.27055026455,945,6.666666666666667,1795.973591
0x083384f897ee0f19899168e3b1bec365f52a9012,Fear,1113373.547515,17020.494876265468,1778,52.64341957255343,3245.845752
0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,276719.270187,15134.130383275262,574,16.02787456445993,918.352858
0x083384f897ee0f19899168e3b1bec365f52a9012,Neutral,125650.11674,23336.999311163898,421,58.19477434679335,1301.148108
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Extreme Fear,-4235.153050999999,2156.074411764706,170,30.0,63.29054718
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Extreme Greed,35658.894935000004,1846.6767272727272,825,57.6969696969697,442.18215349
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,-1658.7368009999998,981.595171624714,2622,47.82608695652174,576.03277151
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,30053.395556,2204.2242779476724,2943,40.16309887869521,1386.71850896
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Neutral,-11933.080125,1506.4890555555558,720,36.11111111111111,261.61390739
0x271b280974205ca63b716753467d5a371de622ab,Extreme Fear,16706.884912,6131.710464240904,797,37.641154328732746,1181.135135
0x271b280974205ca63b716753467d5a371de622ab,Extreme Greed,1793.1602149999999,31941.660000000003,5,80.0,34.662051
0x271b280974205ca63b716753467d5a371de622ab,Fear,30121.91049,7222.6180513918625,1868,38.22269807280514,3916.842206
0x271b280974205ca63b716753467d5a371de622ab,Greed,-100019.806374,19419.792833333337,540,24.444444444444443,2760.289908
0x271b280974205ca63b716753467d5a371de622ab,Neutral,-19038.340561,8093.856811352254,599,0.0,1388.05355
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Extreme Fear,-25666.012284,806.9836411149826,574,28.745644599303137,154.006218275
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Extreme Greed,108009.960644,438.0787434834915,7481,44.44592968854431,1131.28972511
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Fear,13422.524859,656.0465117941386,1399,43.03073624017155,269.576032127
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,31192.591971,501.44102693602696,2970,44.84848484848485,492.24852719
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Neutral,5505.749364,687.0997632468997,887,46.674182638105975,171.2468637489
0x2c229d22b100a7beb69122eed721cee9b24011dd,Extreme Fear,11415.247787,2477.321696428571,112,68.75,91.484217
0x2c229d22b100a7beb69122eed721cee9b24011dd,Extreme Greed,90895.05041,3409.7221921515566,1478,48.78213802435724,1531.742448
0x2c229d22b100a7beb69122eed721cee9b24011dd,Fear,3979.190772,1534.1833595800524,381,43.30708661417323,171.61459
0x2c229d22b100a7beb69122eed721cee9b24011dd,Greed,20075.672949,4041.240158102767,253,54.1501976284585,333.813676
0x2c229d22b100a7beb69122eed721cee9b24011dd,Neutral,42292.843076,3194.968620689655,1015,57.536945812807886,979.541791
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Extreme Fear,-56967.825773000004,1620.1930798479086,263,11.02661596958175,41.722011
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Extreme Greed,30992.181771,2791.594658385093,161,45.962732919254655,24.25606888
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Fear,-467.058896,1320.9939453125,256,67.96875,48.742691
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Greed,-3531.989984,1532.4567647058823,102,72.54901960784314,29.548333500000002
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Neutral,-1228.907104,1207.8618181818183,33,60.60606060606061,2.805659
0x39cef799f8b69da1995852eea189df24eb5cae3c,Extreme Fear,-76179.494853,4041.219688249401,1668,30.215827338129497,626.96220466
0x39cef799f8b69da1995852eea189df24eb5cae3c,Extreme Greed,14406.384865,4752.3967826086955,115,49.56521739130435,86.29597369
0x39cef799f8b69da1995852eea189df24eb5cae3c,Fear,54685.021109,4219.732807613868,1471,32.22297756628144,489.815443
0x39cef799f8b69da1995852eea189df24eb5cae3c,Greed,10591.760255,11643.763492063492,63,44.44444444444444,94.18151972
0x39cef799f8b69da1995852eea189df24eb5cae3c,Neutral,10953.24796,10901.87974264706,272,41.544117647058826,161.401985
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Extreme Fear,110.553364,3388.287368421053,19,100.0,6.43773
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Extreme Greed,36870.155091,2690.061310679612,206,36.89320388349515,102.23831808
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Fear,4256.559309,4272.7372151898735,79,62.0253164556962,43.863969077
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Greed,4239.816383,4772.490384615385,26,50.0,17.360690759999997
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Neutral,8019.163096,31867.690000000002,2,50.0,6.373468
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Extreme Fear,9461.082288,2446.7424590163937,61,4.918032786885246,26.326207999999998
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Extreme Greed,4019.61859,3220.5196296296294,108,23.14814814814815,56.837105
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Fear,99648.278349,6300.139081632653,98,35.714285714285715,57.856293979
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Greed,12082.95,9856.075588235295,68,2.941176470588235,98.292048
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Neutral,74293.663505,4225.696458333333,48,52.083333333333336,28.655434
0x430f09841d65beb3f27765503d0f850b8bce7713,Extreme Fear,0.0,5570.2651898734175,79,0.0,44.005053
0x430f09841d65beb3f27765503d0f850b8bce7713,Extreme Greed,124284.948775,8285.689333333334,15,100.0,43.499863
0x430f09841d65beb3f27765503d0f850b8bce7713,Fear,5615.052102,2535.9212236286917,237,10.126582278481013,66.227287
0x430f09841d65beb3f27765503d0f850b8bce7713,Greed,227680.491734,1521.842163212435,772,63.730569948186535,380.529775
0x430f09841d65beb3f27765503d0f850b8bce7713,Neutral,58961.37973,4670.876492537313,134,50.74626865671642,212.744953
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Extreme Fear,-14527.442518,573.057442455243,391,26.342710997442452,54.99003924
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Extreme Greed,67275.949439,542.1092603174603,3150,34.285714285714285,602.72904938
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Fear,9999.484228,539.9225108225108,924,37.66233766233766,120.1404437259
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Greed,36566.483324,490.628555032372,3398,35.07945850500294,378.32311559
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Neutral,4029.241688,474.19975609756096,656,43.90243902439025,74.663873246
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Extreme Fear,166696.399486,10589.94378296146,986,30.93306288032454,1960.891566
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Extreme Greed,20496.054182,5260.990299401197,167,35.92814371257485,205.10879
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Fear,296781.722858,13057.168868194842,1396,40.902578796561606,3607.139708
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Greed,96392.783186,5601.335788546256,1135,59.55947136563877,1459.994538
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Neutral,97380.090931,5457.3741666666665,672,75.29761904761905,792.85779219
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Fear,74346.546606,25119.228652291105,371,42.857142857142854,2924.867029
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,129217.68646,18714.972399836468,2446,33.36058871627146,13860.540195
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Fear,-19126.158064,15510.035536332178,1156,35.55363321799308,5814.281086
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Greed,79023.471493,14903.147896315337,2334,34.36161096829478,11169.308956
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Neutral,45514.323221,17120.53617071261,1277,42.678151918559124,6955.470137
0x513b8629fe877bb581bf244e326a047b249c4ff1,Extreme Fear,-71121.820704,9644.015086705202,346,30.346820809248555,537.567878
0x513b8629fe877bb581bf244e326a047b249c4ff1,Extreme Greed,0.0,3261.5788789237668,223,0.0,12.38025211
0x513b8629fe877bb581bf244e326a047b249c4ff1,Fear,367166.216924,37633.67887644207,5981,37.05066042467815,37595.168435
0x513b8629fe877bb581bf244e326a047b249c4ff1,Greed,163047.664946,38497.727718523194,3169,37.6459450930893,24868.86751
0x513b8629fe877bb581bf244e326a047b249c4ff1,Neutral,381330.49405,27702.0510727056,2517,55.423122765196666,13410.65881658
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Extreme Fear,2037.258612,1024.4990209790208,143,30.76923076923077,42.3184906229
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Extreme Greed,73192.077142,619.9583040935672,171,89.47368421052632,25.07813282
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Fear,2040.359057,849.9995264623956,359,22.00557103064067,84.4240759195
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Greed,30203.401038,551.6468879668049,241,50.62240663900415,27.90836476
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Neutral,1258.120923,613.8450819672132,61,37.704918032786885,7.1070128100000005
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Extreme Fear,33980.0,6242.196836935167,509,61.29666011787819,665.05679233
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Extreme Greed,0.0,18481.63244897959,98,0.0,181.119965
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Fear,-58219.752261,4277.756430868168,311,16.077170418006432,127.39115396
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Greed,453595.31817600003,8515.413979763913,593,31.703204047217536,567.269376
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Neutral,0.0,1341.7722784810126,79,0.0,10.599979000000001
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Extreme Fear,198900.56161,2613.952760180995,221,42.081447963800905,56.113755
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Extreme Greed,573.585288,2593.1634801762116,227,0.4405286343612335,50.97826416
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Fear,144514.3446,1465.772505800464,431,64.50116009280742,62.625261
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Greed,21077.717,2096.6078483606557,488,12.295081967213115,98.221482
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Neutral,-4526.698469,2478.0915789473684,57,0.0,13.560082
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Unknown,42471.99413,14778.143333333333,6,100.0,8.512204
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Fear,25672.838055,3415.97420886076,316,91.45569620253164,210.195702
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,210726.855269,3175.167734273036,3831,85.46071521795876,722.58015068
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Fear,49364.275663,1993.2188882211537,1664,77.94471153846155,506.12633
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,95937.394195,2491.9091978609626,2618,80.7868601986249,725.166052
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Neutral,-2605.9564710000004,1806.9995150273223,1464,71.51639344262296,431.190907
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Extreme Fear,3222.822132,3452.067006060606,825,47.39393939393939,413.961216
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Extreme Greed,1260.832586,6260.16,3,33.33333333333333,1.31707394
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Fear,4036.552319,3684.659411764706,544,46.875,271.980091
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Greed,6775.291988000001,3970.946987951807,83,53.01204819277109,17.13209714
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Neutral,-395.0559780000001,6189.474711538462,104,13.461538461538462,75.82642488
0x8170715b3b381dffb7062c0298972d4727a0a63b,Extreme Fear,12713.493131000001,5132.397861635221,159,27.67295597484277,92.84647
0x8170715b3b381dffb7062c0298972d4727a0a63b,Extreme Greed,-19135.913281,2105.433775510204,98,5.1020408163265305,47.40079792
0x8170715b3b381dffb7062c0298972d4727a0a63b,Fear,151292.732859,2389.899759312321,1745,29.68481375358166,477.514178
0x8170715b3b381dffb7062c0298972d4727a0a63b,Greed,-360101.898234,1759.3724621899578,1653,54.68844525105868,667.417642
0x8170715b3b381dffb7062c0298972d4727a0a63b,Neutral,47610.460743999996,2159.362156448203,946,30.655391120507396,294.206364
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Extreme Fear,-4825.496358,5908.287346938776,49,20.408163265306122,101.327103
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Extreme Greed,11.717676000000012,1690.14075,80,2.5,32.66765128
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Fear,258.41533,1826.8996363636363,55,34.54545454545455,21.04712642
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Greed,57108.9113,24725.104646464646,297,48.148148148148145,2489.49220698
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Neutral,12960.109958,2888.5457832167835,1430,31.95804195804196,740.3481309
0x8477e447846c758f5a675856001ea72298fd9cb5,Extreme Fear,1774.309786,1370.6364564007422,539,25.04638218923933,214.616356
0x8477e447846c758f5a675856001ea72298fd9cb5,Extreme Greed,56071.411052999996,941.3951530356247,3986,33.617661816357256,1194.62009507
0x8477e447846c758f5a675856001ea72298fd9cb5,Fear,9299.484548,802.2292537313432,1474,32.70013568521031,386.492636
0x8477e447846c758f5a675856001ea72298fd9cb5,Greed,-24036.539128,672.7898089359201,6804,19.914756025867135,1361.5405714
0x8477e447846c758f5a675856001ea72298fd9cb5,Neutral,808.3427170000001,935.5193302961276,2195,28.109339407744876,635.273437
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Extreme Fear,3425.96095,9608.110294117647,68,48.529411764705884,228.673001
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Extreme Greed,63520.274683,2366.0607617817946,1549,27.953518398967077,885.25956372
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Fear,-621.54506,7921.723298429319,191,0.0,238.40104755000002
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Greed,60254.251561,3948.5062552126774,1199,33.77814845704754,1467.625188
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Neutral,0.0,9481.510444444444,45,0.0,1.99999899
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Extreme Fear,1011.258943,601.996925925926,270,22.59259259259259,23.570993
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Extreme Greed,47791.247782,1668.89697169002,3497,42.35058621675722,387.841176
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Fear,12934.469345,1171.4685886402754,2324,31.841652323580032,468.235586
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Greed,35098.877549,1174.6497837181046,4115,33.754556500607535,502.8048913683
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Neutral,9467.021637,1169.3571476199297,5399,31.950361177995923,905.5027867359
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Extreme Fear,-961.048507,292.026,5,0.0,0.511043
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Extreme Greed,46411.26711,1632.78890625,256,51.953125,24.68363527
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Fear,-16719.913714000002,7128.183863636363,44,6.8181818181818175,140.33584480000002
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Greed,44169.810737,1185.982962962963,108,95.37037037037037,24.28091997
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Neutral,-53.631353999999995,157.265,4,0.0,0.12656147
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Extreme Fear,622.41079,3958.3206250000003,80,7.5,106.399585
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Extreme Greed,20925.513222,3387.3391578947367,190,55.26315789473685,201.36228461
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Fear,8129.3406589999995,2388.1569105691055,123,34.959349593495936,98.697644
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Greed,38168.35486,2490.7195882352944,170,44.70588235294118,142.269751
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Extreme Fear,0.0,2238.4694117647055,17,0.0,3.805396
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Extreme Greed,15.24474,1729.47,5,20.0,1.057699
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Fear,14542.702934,7556.169428571428,455,32.747252747252745,395.1179374464
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Greed,43.2005,1816.5700000000002,5,40.0,2.938894
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Neutral,7157.683579,18355.422884615386,52,38.46153846153847,138.825683
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Fear,9544.906134,1679.102043301759,739,31.123139377537214,591.29443594
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,1105304.859175,3141.527096774193,1643,51.00426049908704,1525.700865
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Fear,93165.161357,1594.6896938435941,3005,32.712146422628955,2739.40674467
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,534058.23633,6161.486004415011,5889,27.32212599762269,8096.03410723
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Neutral,401309.434693,2621.9688140005783,3457,37.80734741105004,3042.88209898
0xb899e522b5715391ae1d4f137653e7906c5e2115,Extreme Fear,-33221.806818,20678.869264426125,1577,33.60811667723526,8805.040339
0xb899e522b5715391ae1d4f137653e7906c5e2115,Fear,51692.358711,23308.947170003394,2947,51.102816423481514,17944.384255
0xb899e522b5715391ae1d4f137653e7906c5e2115,Neutral,4017.948928,24124.194140127387,314,27.388535031847134,1893.749121
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Extreme Fear,261917.977792,4447.5240379464285,4480,37.94642857142857,1898.077166219
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Fear,620872.375844,3275.304973064244,12437,49.82712872879312,5641.877452
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Greed,4.672458,71.23400000000001,5,20.0,0.119809
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Neutral,57368.780126,1727.4258618266979,4270,47.096018735362996,1056.631239
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Extreme Fear,37712.523408999994,10015.927416020671,387,25.064599483204137,847.633334
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Extreme Greed,6053.160569999998,2881.2370967741936,310,8.38709677419355,145.10345900000002
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Fear,236797.727737,9070.947688399661,1181,49.87298899237934,2374.144915
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Greed,30258.203855,2397.802942857143,350,24.285714285714285,136.573241
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Neutral,-90302.553718,10692.552179176755,413,16.46489104116223,1269.64353543
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Extreme Fear,30774.092128,1445.72832250443,5079,41.32703288048828,1729.51492992
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Extreme Greed,478811.468185,2458.4087832812734,6723,59.63111706083593,1674.1590679399999
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Fear,55978.79696,1503.4243562514534,12901,37.655995659251225,4455.59968697
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Greed,243399.51314,2398.693387844099,7338,46.47042790951213,2384.0674206
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Neutral,27116.682664,1625.9099029841582,8143,34.778337222154,3109.55860352
